[Organism]	[All genes]	[Prot genes]	[All pseudo -genes]	[Non prot genes]	[EC#]	[GO terms]	[SAGE tags]	[RNA Seq]	[ChIP chip]	[RT- PCR]	[ESTs]	[SNPs]	[Ortho logs]	[Micro arrays]	[Prote omics]	[TFBS]	[Comm unity entries]	[Data source]	[Project]	[Isolates]	[Is annotated]	[Is Reference Strain]	[Organism]	[NCBI taxon ID]	[Genome version]	[Mega base Pairs]	[Is published]	[Fasta Download Link]	[GFF Download Link]	[Gene Details Download Link]	
<i>Leishmania braziliensis</i>  MHOM/BR/75/M2904	8505	8357	156	148	1025	4065	-	-	-	-	1	-	8353	-	68	-	57	GeneDB	TriTrypDB	10673	1	1	Leishmania braziliensis MHOM/BR/75/M2904	420245	2013-01-16	   32.09	1	http://TriTrypDB.org/common/downloads/Current_Release/LbraziliensisMHOMBR75M2904/fasta/data/TriTrypDB-24_LbraziliensisMHOMBR75M2904_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/LbraziliensisMHOMBR75M2904/gff/data/TriTrypDB-24_LbraziliensisMHOMBR75M2904.gff	http://TriTrypDB.org/common/downloads/Current_Release/LbraziliensisMHOMBR75M2904/txt/TriTrypDB-24_LbraziliensisMHOMBR75M2904Gene.txt	
<i>Leishmania donovani</i>  BPK282A1	8195	8083	51	112	84	3538	-	7959	-	-	-	3	8000	-	3999	-	32	GeneDB	TriTrypDB	12215	1	1	Leishmania donovani BPK282A1	981087	2013-01-16	   32.44	1	http://TriTrypDB.org/common/downloads/Current_Release/LdonovaniBPK282A1/fasta/data/TriTrypDB-24_LdonovaniBPK282A1_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/LdonovaniBPK282A1/gff/data/TriTrypDB-24_LdonovaniBPK282A1.gff	http://TriTrypDB.org/common/downloads/Current_Release/LdonovaniBPK282A1/txt/TriTrypDB-24_LdonovaniBPK282A1Gene.txt	
<i>Leishmania enriettii</i>  strain LEM3045	8831	8731	0	100	51	3719	-	-	-	-	-	-	8438	-	-	-	8	GeneDB	TriTrypDB	1458	1	1	Leishmania enriettii strain LEM3045	null	2014-12-16	   30.76	0	http://TriTrypDB.org/common/downloads/Current_Release/LenriettiiLEM3045/fasta/data/TriTrypDB-24_LenriettiiLEM3045_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/LenriettiiLEM3045/gff/data/TriTrypDB-24_LenriettiiLEM3045.gff	http://TriTrypDB.org/common/downloads/Current_Release/LenriettiiLEM3045/txt/TriTrypDB-24_LenriettiiLEM3045Gene.txt	
<i>Leishmania gerbilli</i>  strain LEM452	8700	8599	0	101	38	3734	-	-	-	-	-	-	8534	-	-	-	9	GeneDB	TriTrypDB	203	1	1	Leishmania gerbilli strain LEM452	null	2014-12-16	   31.29	0	http://TriTrypDB.org/common/downloads/Current_Release/LgerbilliLEM452/fasta/data/TriTrypDB-24_LgerbilliLEM452_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/LgerbilliLEM452/gff/data/TriTrypDB-24_LgerbilliLEM452.gff	http://TriTrypDB.org/common/downloads/Current_Release/LgerbilliLEM452/txt/TriTrypDB-24_LgerbilliLEM452Gene.txt	
<i>Leishmania infantum</i>  JPCM5	8381	8239	59	142	1042	4093	-	8381	-	-	11	7	8234	8183	1046	-	99	GeneDB	TriTrypDB	12970	1	1	Leishmania infantum JPCM5	435258	2013-01-16	   32.13	1	http://TriTrypDB.org/common/downloads/Current_Release/LinfantumJPCM5/fasta/data/TriTrypDB-24_LinfantumJPCM5_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/LinfantumJPCM5/gff/data/TriTrypDB-24_LinfantumJPCM5.gff	http://TriTrypDB.org/common/downloads/Current_Release/LinfantumJPCM5/txt/TriTrypDB-24_LinfantumJPCM5Gene.txt	
<i>Leishmania major</i>  strain Friedlin	9378	8400	91	978	1065	4182	-	8317	8767	-	432	52	8398	8147	3790	8767	316	GeneDB	TriTrypDB	13164	1	1	Leishmania major strain Friedlin	347515	2013-01-16	   32.86	1	http://TriTrypDB.org/common/downloads/Current_Release/LmajorFriedlin/fasta/data/TriTrypDB-24_LmajorFriedlin_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/LmajorFriedlin/gff/data/TriTrypDB-24_LmajorFriedlin.gff	http://TriTrypDB.org/common/downloads/Current_Release/LmajorFriedlin/txt/TriTrypDB-24_LmajorFriedlinGene.txt	
<i>Leishmania major</i>  strain LV39c5	9101	8971	0	130	41	3773	-	-	-	-	429	-	8925	-	-	-	-	GeneDB	TriTrypDB	341	1	0	Leishmania major strain LV39c5	860569	2015-01-16	   32.33	0	http://TriTrypDB.org/common/downloads/Current_Release/LmajorLV39c5/fasta/data/TriTrypDB-24_LmajorLV39c5_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/LmajorLV39c5/gff/data/TriTrypDB-24_LmajorLV39c5.gff	http://TriTrypDB.org/common/downloads/Current_Release/LmajorLV39c5/txt/TriTrypDB-24_LmajorLV39c5Gene.txt	
<i>Leishmania major</i>  strain SD 75.1	8931	8818	0	113	41	3720	-	-	-	-	425	-	8785	-	-	-	-	GeneDB	TriTrypDB	-	1	0	Leishmania major strain SD 75.1	860570	2015-01-16	   31.24	0	http://TriTrypDB.org/common/downloads/Current_Release/LmajorSD75.1/fasta/data/TriTrypDB-24_LmajorSD75.1_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/LmajorSD75.1/gff/data/TriTrypDB-24_LmajorSD75.1.gff	http://TriTrypDB.org/common/downloads/Current_Release/LmajorSD75.1/txt/TriTrypDB-24_LmajorSD75.1Gene.txt	
<i>Leishmania mexicana</i>  MHOM/GT/2001/U1103	9063	8250	99	813	635	3948	-	-	-	-	-	-	8242	-	1666	-	70	GeneDB	TriTrypDB	11036	1	1	Leishmania mexicana MHOM/GT/2001/U1103	929439	2013-01-16	   32.11	1	http://TriTrypDB.org/common/downloads/Current_Release/LmexicanaMHOMGT2001U1103/fasta/data/TriTrypDB-24_LmexicanaMHOMGT2001U1103_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/LmexicanaMHOMGT2001U1103/gff/data/TriTrypDB-24_LmexicanaMHOMGT2001U1103.gff	http://TriTrypDB.org/common/downloads/Current_Release/LmexicanaMHOMGT2001U1103/txt/TriTrypDB-24_LmexicanaMHOMGT2001U1103Gene.txt	
<i>Leishmania panamensis</i>  MHOM/COL/81/L13	8778	8665	0	113	50	3668	-	-	-	-	-	-	8503	-	-	-	8	GeneDB	TriTrypDB	2843	1	1	Leishmania panamensis MHOM/COL/81/L13	1295824	2014-12-16	   31.26	0	http://TriTrypDB.org/common/downloads/Current_Release/LpanamensisMHOMCOL81L13/fasta/data/TriTrypDB-24_LpanamensisMHOMCOL81L13_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/LpanamensisMHOMCOL81L13/gff/data/TriTrypDB-24_LpanamensisMHOMCOL81L13.gff	http://TriTrypDB.org/common/downloads/Current_Release/LpanamensisMHOMCOL81L13/txt/TriTrypDB-24_LpanamensisMHOMCOL81L13Gene.txt	
<i>Leptomonas pyrrhocoris</i>  H10	10148	9878	0	270	-	4247	-	10148	-	-	-	-	9534	-	-	-	-	LukesLab	TriTrypDB	12891	1	1	Leptomonas pyrrhocoris H10	null	2015-05-05	   30.38	0	http://TriTrypDB.org/common/downloads/Current_Release/LpyrrhocorisH10/fasta/data/TriTrypDB-24_LpyrrhocorisH10_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/LpyrrhocorisH10/gff/data/TriTrypDB-24_LpyrrhocorisH10.gff	http://TriTrypDB.org/common/downloads/Current_Release/LpyrrhocorisH10/txt/TriTrypDB-24_LpyrrhocorisH10Gene.txt	
<i>Leptomonas seymouri</i>  ATCC 30220	8595	8488	0	107	-	3554	-	-	-	-	-	-	8208	-	-	-	-	YurchenkoLab	TriTrypDB	12218	1	1	Leptomonas seymouri ATCC 30220	null	2015-05-06	   27.80	0	http://TriTrypDB.org/common/downloads/Current_Release/LseymouriATCC30220/fasta/data/TriTrypDB-24_LseymouriATCC30220_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/LseymouriATCC30220/gff/data/TriTrypDB-24_LseymouriATCC30220.gff	http://TriTrypDB.org/common/downloads/Current_Release/LseymouriATCC30220/txt/TriTrypDB-24_LseymouriATCC30220Gene.txt	
<i>Leishmania sp.</i>  MAR LEM2494	8581	8483	0	98	41	3718	-	-	-	-	-	-	8240	-	-	-	8	GeneDB	TriTrypDB	527	1	1	Leishmania sp. MAR LEM2494	1303197	2014-12-16	   30.81	0	http://TriTrypDB.org/common/downloads/Current_Release/LspMARLEM2494/fasta/data/TriTrypDB-24_LspMARLEM2494_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/LspMARLEM2494/gff/data/TriTrypDB-24_LspMARLEM2494.gff	http://TriTrypDB.org/common/downloads/Current_Release/LspMARLEM2494/txt/TriTrypDB-24_LspMARLEM2494Gene.txt	
<i>Leishmania tarentolae</i>  Parrot-TarII	8530	8452	0	78	-	3529	-	-	-	-	-	-	8246	-	-	-	29	ULAVAL	TriTrypDB	11087	1	1	Leishmania tarentolae Parrot-TarII	null	2011-06-22	   31.63	1	http://TriTrypDB.org/common/downloads/Current_Release/LtarentolaeParrotTarII/fasta/data/TriTrypDB-24_LtarentolaeParrotTarII_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/LtarentolaeParrotTarII/gff/data/TriTrypDB-24_LtarentolaeParrotTarII.gff	http://TriTrypDB.org/common/downloads/Current_Release/LtarentolaeParrotTarII/txt/TriTrypDB-24_LtarentolaeParrotTarIIGene.txt	
<i>Leishmania tropica</i>  L590	8938	8824	0	114	40	3803	-	-	-	-	-	-	8723	-	-	-	9	GeneDB	TriTrypDB	998	1	1	Leishmania tropica L590	1206058	2014-12-16	   33.02	1	http://TriTrypDB.org/common/downloads/Current_Release/LtropicaL590/fasta/data/TriTrypDB-24_LtropicaL590_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/LtropicaL590/gff/data/TriTrypDB-24_LtropicaL590.gff	http://TriTrypDB.org/common/downloads/Current_Release/LtropicaL590/txt/TriTrypDB-24_LtropicaL590Gene.txt	
<i>Leishmania turanica</i>  strain LEM423	8717	8608	0	109	40	3727	-	-	-	-	-	-	8534	-	-	-	6	GeneDB	TriTrypDB	234	1	1	Leishmania turanica strain LEM423	null	2014-12-16	   31.51	0	http://TriTrypDB.org/common/downloads/Current_Release/LturanicaLEM423/fasta/data/TriTrypDB-24_LturanicaLEM423_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/LturanicaLEM423/gff/data/TriTrypDB-24_LturanicaLEM423.gff	http://TriTrypDB.org/common/downloads/Current_Release/LturanicaLEM423/txt/TriTrypDB-24_LturanicaLEM423Gene.txt	
<i>Mitosporidium daphniae</i>  UGP3	3428	3330	0	98	-	1773	-	-	-	-	-	-	2369	-	-	-	-	GenBank	MicrosporidiaDB	4	1	1	Mitosporidium daphniae UGP3	null	2014-09-30	    5.64	1	http://MicrosporidiaDB.org/common/downloads/Current_Release/MdaphniaeUGP3/fasta/data/MicrosporidiaDB-24_MdaphniaeUGP3_Genome.fasta	http://MicrosporidiaDB.org/common/downloads/Current_Release/MdaphniaeUGP3/gff/data/MicrosporidiaDB-24_MdaphniaeUGP3.gff	http://MicrosporidiaDB.org/common/downloads/Current_Release/MdaphniaeUGP3/txt/MicrosporidiaDB-24_MdaphniaeUGP3Gene.txt	
<i>Nosema bombycis</i>  CQ1	4643	4468	12	175	61	1647	-	-	-	-	-	-	3841	-	-	-	-	GenBank	MicrosporidiaDB	100	1	1	Nosema bombycis CQ1	578461	2013-04-30	   15.69	1	http://MicrosporidiaDB.org/common/downloads/Current_Release/NbombycisCQ1/fasta/data/MicrosporidiaDB-24_NbombycisCQ1_Genome.fasta	http://MicrosporidiaDB.org/common/downloads/Current_Release/NbombycisCQ1/gff/data/MicrosporidiaDB-24_NbombycisCQ1.gff	http://MicrosporidiaDB.org/common/downloads/Current_Release/NbombycisCQ1/txt/MicrosporidiaDB-24_NbombycisCQ1Gene.txt	
<i>Neospora caninum</i>  Liverpool	7266	7122	10	144	623	3376	-	7266	-	-	2609	-	7112	-	-	-	129	GenBank	ToxoDB	1850	1	1	Neospora caninum Liverpool	572307	2011-08-12	   59.10	1	http://ToxoDB.org/common/downloads/Current_Release/NcaninumLIV/fasta/data/ToxoDB-24_NcaninumLIV_Genome.fasta	http://ToxoDB.org/common/downloads/Current_Release/NcaninumLIV/gff/data/ToxoDB-24_NcaninumLIV.gff	http://ToxoDB.org/common/downloads/Current_Release/NcaninumLIV/txt/ToxoDB-24_NcaninumLIVGene.txt	
<i>Nosema ceranae</i>  BRL01	2678	2614	554	64	-	1051	-	-	-	-	-	-	2158	-	-	-	-	GenBank	MicrosporidiaDB	473	1	1	Nosema ceranae BRL01	578460	2009-06-09	    7.86	1	http://MicrosporidiaDB.org/common/downloads/Current_Release/NceranaeBRL01/fasta/data/MicrosporidiaDB-24_NceranaeBRL01_Genome.fasta	http://MicrosporidiaDB.org/common/downloads/Current_Release/NceranaeBRL01/gff/data/MicrosporidiaDB-24_NceranaeBRL01.gff	http://MicrosporidiaDB.org/common/downloads/Current_Release/NceranaeBRL01/txt/MicrosporidiaDB-24_NceranaeBRL01Gene.txt	
<i>Nematocida sp. 1</i>  ERTm2	2831	2770	0	61	-	1028	-	-	-	-	-	-	2669	-	-	-	-	GenBank	MicrosporidiaDB	1	1	1	Nematocida sp. 1 ERTm2	944018	2012-02-28	    4.70	1	http://MicrosporidiaDB.org/common/downloads/Current_Release/NematocidaSp1ERTm2/fasta/data/MicrosporidiaDB-24_NematocidaSp1ERTm2_Genome.fasta	http://MicrosporidiaDB.org/common/downloads/Current_Release/NematocidaSp1ERTm2/gff/data/MicrosporidiaDB-24_NematocidaSp1ERTm2.gff	http://MicrosporidiaDB.org/common/downloads/Current_Release/NematocidaSp1ERTm2/txt/MicrosporidiaDB-24_NematocidaSp1ERTm2Gene.txt	
<i>Naegleria fowleri</i>  ATCC 30863	15937	15761	31	176	-	6765	-	15761	-	-	-	-	10981	-	-	-	-	Wittwer	AmoebaDB	377	1	1	Naegleria fowleri ATCC 30863	null	2014-11-05	   29.62	1	http://AmoebaDB.org/common/downloads/Current_Release/NfowleriATCC30863/fasta/data/AmoebaDB-24_NfowleriATCC30863_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/NfowleriATCC30863/gff/data/AmoebaDB-24_NfowleriATCC30863.gff	http://AmoebaDB.org/common/downloads/Current_Release/NfowleriATCC30863/txt/AmoebaDB-24_NfowleriATCC30863Gene.txt	
<i>Nematocida parisii</i>  ERTm1	2724	2661	0	63	-	1001	-	2724	-	-	-	-	2632	-	-	-	-	GenBank	MicrosporidiaDB	-	1	1	Nematocida parisii ERTm1	881290	2012-05-14	    4.07	1	http://MicrosporidiaDB.org/common/downloads/Current_Release/NparisiiERTm1/fasta/data/MicrosporidiaDB-24_NparisiiERTm1_Genome.fasta	http://MicrosporidiaDB.org/common/downloads/Current_Release/NparisiiERTm1/gff/data/MicrosporidiaDB-24_NparisiiERTm1.gff	http://MicrosporidiaDB.org/common/downloads/Current_Release/NparisiiERTm1/txt/MicrosporidiaDB-24_NparisiiERTm1Gene.txt	
<i>Nematocida parisii</i>  ERTm3	2788	2726	0	62	50	1004	-	-	-	-	-	-	2668	-	-	-	-	GenBank	MicrosporidiaDB	-	1	0	Nematocida parisii ERTm3	935791	2012-05-14	    4.15	1	http://MicrosporidiaDB.org/common/downloads/Current_Release/NparisiiERTm3/fasta/data/MicrosporidiaDB-24_NparisiiERTm3_Genome.fasta	http://MicrosporidiaDB.org/common/downloads/Current_Release/NparisiiERTm3/gff/data/MicrosporidiaDB-24_NparisiiERTm3.gff	http://MicrosporidiaDB.org/common/downloads/Current_Release/NparisiiERTm3/txt/MicrosporidiaDB-24_NparisiiERTm3Gene.txt	
<i>Nematocida sp. 1</i>  ERTm6	2484	2433	0	51	-	1028	-	-	-	-	-	-	2399	-	-	-	-	broad	MicrosporidiaDB	-	1	0	Nematocida sp. 1 ERTm6	1138374	0.1	    4.28	1	http://MicrosporidiaDB.org/common/downloads/Current_Release/Nsp1ERTm6/fasta/data/MicrosporidiaDB-24_Nsp1ERTm6_Genome.fasta	http://MicrosporidiaDB.org/common/downloads/Current_Release/Nsp1ERTm6/gff/data/MicrosporidiaDB-24_Nsp1ERTm6.gff	http://MicrosporidiaDB.org/common/downloads/Current_Release/Nsp1ERTm6/txt/MicrosporidiaDB-24_Nsp1ERTm6Gene.txt	
<i>Ordospora colligata</i>  OC4	1879	1820	0	59	-	1026	-	-	-	-	-	-	1749	-	-	-	-	GenBank	MicrosporidiaDB	-	1	1	Ordospora colligata OC4	null	2014-12-17	    2.29	1	http://MicrosporidiaDB.org/common/downloads/Current_Release/OcolligataOC4/fasta/data/MicrosporidiaDB-24_OcolligataOC4_Genome.fasta	http://MicrosporidiaDB.org/common/downloads/Current_Release/OcolligataOC4/gff/data/MicrosporidiaDB-24_OcolligataOC4.gff	http://MicrosporidiaDB.org/common/downloads/Current_Release/OcolligataOC4/txt/MicrosporidiaDB-24_OcolligataOC4Gene.txt	
<i>Plasmodium berghei</i>  ANKA	5254	5076	124	178	539	2608	-	5254	-	-	4246	-	5076	4445	2532	5192	103	GeneDB	PlasmoDB	27542	1	1	Plasmodium berghei ANKA	5823	2015-07-06	   18.78	1	http://PlasmoDB.org/common/downloads/Current_Release/PbergheiANKA/fasta/data/PlasmoDB-24_PbergheiANKA_Genome.fasta	http://PlasmoDB.org/common/downloads/Current_Release/PbergheiANKA/gff/data/PlasmoDB-24_PbergheiANKA.gff	http://PlasmoDB.org/common/downloads/Current_Release/PbergheiANKA/txt/PlasmoDB-24_PbergheiANKAGene.txt	
<i>Plasmodium chabaudi</i>  chabaudi	5364	5217	17	147	543	2444	-	-	-	-	-	-	5216	-	-	5328	58	GeneDB	PlasmoDB	27982	1	1	Plasmodium chabaudi chabaudi	31271	2015-06-18	   18.97	1	http://PlasmoDB.org/common/downloads/Current_Release/Pchabaudichabaudi/fasta/data/PlasmoDB-24_Pchabaudichabaudi_Genome.fasta	http://PlasmoDB.org/common/downloads/Current_Release/Pchabaudichabaudi/gff/data/PlasmoDB-24_Pchabaudichabaudi.gff	http://PlasmoDB.org/common/downloads/Current_Release/Pchabaudichabaudi/txt/PlasmoDB-24_PchabaudichabaudiGene.txt	
<i>Plasmodium cynomolgi</i>  strain B	5776	5716	0	60	-	2137	-	-	-	-	-	-	5662	-	-	-	2	GenBank	PlasmoDB	23978	1	1	Plasmodium cynomolgi strain B	1120755	2012-09-19	   26.18	1	http://PlasmoDB.org/common/downloads/Current_Release/PcynomolgiB/fasta/data/PlasmoDB-24_PcynomolgiB_Genome.fasta	http://PlasmoDB.org/common/downloads/Current_Release/PcynomolgiB/gff/data/PlasmoDB-24_PcynomolgiB.gff	http://PlasmoDB.org/common/downloads/Current_Release/PcynomolgiB/txt/PlasmoDB-24_PcynomolgiBGene.txt	
<i>Plasmodium falciparum</i>  3D7	5777	5542	144	235	1145	4584	5067	5777	4216	-	4039	5332	5540	5542	4117	5707	1003	GeneDB	PlasmoDB	30104	1	1	Plasmodium falciparum 3D7	36329	2013-03-01	   23.33	0	http://PlasmoDB.org/common/downloads/Current_Release/Pfalciparum3D7/fasta/data/PlasmoDB-24_Pfalciparum3D7_Genome.fasta	http://PlasmoDB.org/common/downloads/Current_Release/Pfalciparum3D7/gff/data/PlasmoDB-24_Pfalciparum3D7.gff	http://PlasmoDB.org/common/downloads/Current_Release/Pfalciparum3D7/txt/PlasmoDB-24_Pfalciparum3D7Gene.txt	
<i>Plasmodium falciparum</i>  IT	5699	5491	101	208	542	2675	-	-	-	-	3684	-	5462	-	-	5558	3	GeneDB	PlasmoDB	30267	1	0	Plasmodium falciparum IT	null	2013-03-01	   22.98	0	http://PlasmoDB.org/common/downloads/Current_Release/PfalciparumIT/fasta/data/PlasmoDB-24_PfalciparumIT_Genome.fasta	http://PlasmoDB.org/common/downloads/Current_Release/PfalciparumIT/gff/data/PlasmoDB-24_PfalciparumIT.gff	http://PlasmoDB.org/common/downloads/Current_Release/PfalciparumIT/txt/PlasmoDB-24_PfalciparumITGene.txt	
<i>Plasmodium gallinaceum</i>  8A	18	3	0	15	-	3	-	-	-	-	-	-	3	-	-	-	1	psu	PlasmoDB	1684	1	1	Plasmodium gallinaceum 8A	null	2006-12-31	   16.93	0	http://PlasmoDB.org/common/downloads/Current_Release/Pgallinaceum8A/fasta/data/PlasmoDB-24_Pgallinaceum8A_Genome.fasta	http://PlasmoDB.org/common/downloads/Current_Release/Pgallinaceum8A/gff/data/PlasmoDB-24_Pgallinaceum8A.gff	http://PlasmoDB.org/common/downloads/Current_Release/Pgallinaceum8A/txt/PlasmoDB-24_Pgallinaceum8AGene.txt	
<i>Plasmodium knowlesi</i>  strain H	5483	5323	7	160	614	2483	-	-	-	-	-	-	5309	-	-	5439	177	GeneDB	PlasmoDB	26109	1	1	Plasmodium knowlesi strain H	5851	2015-06-18	   24.40	1	http://PlasmoDB.org/common/downloads/Current_Release/PknowlesiH/fasta/data/PlasmoDB-24_PknowlesiH_Genome.fasta	http://PlasmoDB.org/common/downloads/Current_Release/PknowlesiH/gff/data/PlasmoDB-24_PknowlesiH.gff	http://PlasmoDB.org/common/downloads/Current_Release/PknowlesiH/txt/PlasmoDB-24_PknowlesiHGene.txt	
<i>Plasmodium reichenowi</i>  CDC	6069	5846	139	223	893	4202	-	-	-	-	-	-	5805	-	-	-	3	GeneDB	PlasmoDB	31313	1	1	Plasmodium reichenowi CDC	null	2014-09-03	   23.92	1	http://PlasmoDB.org/common/downloads/Current_Release/PreichenowiCDC/fasta/data/PlasmoDB-24_PreichenowiCDC_Genome.fasta	http://PlasmoDB.org/common/downloads/Current_Release/PreichenowiCDC/gff/data/PlasmoDB-24_PreichenowiCDC.gff	http://PlasmoDB.org/common/downloads/Current_Release/PreichenowiCDC/txt/PlasmoDB-24_PreichenowiCDCGene.txt	
<i>Plasmodium vivax</i>  Sal-1	5626	5586	56	40	742	3099	-	-	-	-	3621	244	5577	5586	865	5568	234	GeneDB	PlasmoDB	24057	1	1	Plasmodium vivax Sal-1	126793	2013-05-01	   27.01	1	http://PlasmoDB.org/common/downloads/Current_Release/PvivaxSal1/fasta/data/PlasmoDB-24_PvivaxSal1_Genome.fasta	http://PlasmoDB.org/common/downloads/Current_Release/PvivaxSal1/gff/data/PlasmoDB-24_PvivaxSal1.gff	http://PlasmoDB.org/common/downloads/Current_Release/PvivaxSal1/txt/PlasmoDB-24_PvivaxSal1Gene.txt	
<i>Plasmodium yoelii</i>  yoelii 17X	6102	5978	50	124	442	2491	-	6102	-	-	3142	-	5978	5586	1720	6073	354	GeneDB	PlasmoDB	26953	1	1	Plasmodium yoelii yoelii 17X	null	2014-02-01	   22.76	1	http://PlasmoDB.org/common/downloads/Current_Release/Pyoeliiyoelii17X/fasta/data/PlasmoDB-24_Pyoeliiyoelii17X_Genome.fasta	http://PlasmoDB.org/common/downloads/Current_Release/Pyoeliiyoelii17X/gff/data/PlasmoDB-24_Pyoeliiyoelii17X.gff	http://PlasmoDB.org/common/downloads/Current_Release/Pyoeliiyoelii17X/txt/PlasmoDB-24_Pyoeliiyoelii17XGene.txt	
<i>Plasmodium yoelii</i>  yoelii 17XNL	7774	7724	0	50	167	2182	-	-	-	-	3343	-	7474	-	-	-	470	GenBank	PlasmoDB	27248	1	0	Plasmodium yoelii yoelii 17XNL	352914	2005-09-01	   22.94	1	http://PlasmoDB.org/common/downloads/Current_Release/Pyoeliiyoelii17XNL/fasta/data/PlasmoDB-24_Pyoeliiyoelii17XNL_Genome.fasta	http://PlasmoDB.org/common/downloads/Current_Release/Pyoeliiyoelii17XNL/gff/data/PlasmoDB-24_Pyoeliiyoelii17XNL.gff	http://PlasmoDB.org/common/downloads/Current_Release/Pyoeliiyoelii17XNL/txt/PlasmoDB-24_Pyoeliiyoelii17XNLGene.txt	
<i>Plasmodium yoelii</i>  yoelii YM	5833	5709	44	124	540	2472	-	-	-	-	2797	-	5708	-	-	-	2	GeneDB	PlasmoDB	26830	1	0	Plasmodium yoelii yoelii YM	null	2013-03-01	   22.03	1	http://PlasmoDB.org/common/downloads/Current_Release/PyoeliiyoeliiYM/fasta/data/PlasmoDB-24_PyoeliiyoeliiYM_Genome.fasta	http://PlasmoDB.org/common/downloads/Current_Release/PyoeliiyoeliiYM/gff/data/PlasmoDB-24_PyoeliiyoeliiYM.gff	http://PlasmoDB.org/common/downloads/Current_Release/PyoeliiyoeliiYM/txt/PlasmoDB-24_PyoeliiyoeliiYMGene.txt	
<i>Spraguea lophii</i>  42_110	2596	2543	44	53	51	1236	-	2596	-	-	-	-	1945	-	-	-	-	GenBank	MicrosporidiaDB	1	1	1	Spraguea lophii 42_110	1358809	2013-09-12	    4.98	1	http://MicrosporidiaDB.org/common/downloads/Current_Release/Slophii42_110/fasta/data/MicrosporidiaDB-24_Slophii42_110_Genome.fasta	http://MicrosporidiaDB.org/common/downloads/Current_Release/Slophii42_110/gff/data/MicrosporidiaDB-24_Slophii42_110.gff	http://MicrosporidiaDB.org/common/downloads/Current_Release/Slophii42_110/txt/MicrosporidiaDB-24_Slophii42_110Gene.txt	
<i>Sarcocystis neurona</i>  SN1	7193	7077	7	116	-	2613	-	-	-	-	599	-	5528	-	-	-	-	ParkinsonLab	ToxoDB	449	1	0	Sarcocystis neurona SN1	null	2015-07-23	  130.22	1	http://ToxoDB.org/common/downloads/Current_Release/SneuronaSN1/fasta/data/ToxoDB-24_SneuronaSN1_Genome.fasta	http://ToxoDB.org/common/downloads/Current_Release/SneuronaSN1/gff/data/ToxoDB-24_SneuronaSN1.gff	http://ToxoDB.org/common/downloads/Current_Release/SneuronaSN1/txt/ToxoDB-24_SneuronaSN1Gene.txt	
<i>Sarcocystis neurona</i>  SN3	7089	6965	0	124	-	2604	-	-	-	-	1466	-	5446	-	-	-	-	KissingerLab	ToxoDB	804	1	1	Sarcocystis neurona SN3	null	2015-04-13	  124.41	0	http://ToxoDB.org/common/downloads/Current_Release/SneuronaSN3/fasta/data/ToxoDB-24_SneuronaSN3_Genome.fasta	http://ToxoDB.org/common/downloads/Current_Release/SneuronaSN3/gff/data/ToxoDB-24_SneuronaSN3.gff	http://ToxoDB.org/common/downloads/Current_Release/SneuronaSN3/txt/ToxoDB-24_SneuronaSN3Gene.txt	
<i>Spironucleus salmonicida</i>  ATCC50377	8507	8354	21	153	-	2539	-	8507	-	-	-	-	5075	-	-	-	-	GenBank	GiardiaDB	2049	1	1	Spironucleus salmonicida ATCC50377	null	2013-11-19	   12.95	1	http://GiardiaDB.org/common/downloads/Current_Release/SsalmonicidaATCC50377/fasta/data/GiardiaDB-24_SsalmonicidaATCC50377_Genome.fasta	http://GiardiaDB.org/common/downloads/Current_Release/SsalmonicidaATCC50377/gff/data/GiardiaDB-24_SsalmonicidaATCC50377.gff	http://GiardiaDB.org/common/downloads/Current_Release/SsalmonicidaATCC50377/txt/GiardiaDB-24_SsalmonicidaATCC50377Gene.txt	
